reanalysis_accession, project_accession, provider, tags, # PSMS, status
PRD000900, PXD000966, internal, identification|itraq, 152274, done
PRD000901, PXD000923, external, identification|phosphoproteomics|ptmexchange, 13018, done
PRD000902, PXD002222, external, identification|phosphoproteomics|ptmexchange, 33606,done
PRD000903, PXD002756, external, identification|phosphoproteomics|ptmexchange, 53649,done
PRD000904, PXD004705, external, identification|phosphoproteomics|ptmexchange, 72527,done
PRD000905, PXD004939, external, identification|phosphoproteomics|ptmexchange, 70361,done
PRD000906, PXD005241, external, identification|phosphoproteomics|ptmexchange, ,error memory
PRD000907, PXD012764, external, identification|phosphoproteomics|ptmexchange, 54741,done
PRD000908, PXD019291, external, identification|phosphoproteomics|ptmexchange, 815, done
PRD000909, PXD001180, internal, identification|phosphoproteomics, 152274, done